"year","month","day","question_count"
2020,8,31,160
2012,6,8,39
2010,9,4,6
2010,10,5,10
2020,7,30,153
2020,7,31,149
2010,10,29,10
2010,11,3,6
2020,9,15,193
2020,10,14,160
2020,10,15,196
2017,10,2,150
2013,8,6,90
2015,2,12,133
2010,11,29,9
2020,11,14,102
2015,3,21,46
2017,10,21,103
2021,5,15,93
2015,8,1,52
2012,8,18,23
2012,8,25,21
2012,10,6,24
2012,10,7,21
2012,11,6,42
2012,12,6,53
2017,10,12,170
2014,3,14,111
2015,3,2,112
2011,2,13,3
2015,5,27,129
2014,4,7,111
2019,11,16,87
2021,3,16,192
2019,12,31,84
2011,8,3,17
2014,7,12,40
2014,7,13,48
2020,4,9,225
2011,9,1,23
2011,9,25,11
2011,9,26,28
2021,6,29,157
2015,12,18,111
2018,9,27,149
2018,11,9,177
2016,2,9,143
2018,11,11,79
2011,4,13,22
2019,12,15,89
2017,12,2,75
2015,5,2,59
2020,1,17,156
2018,6,10,84
2013,9,6,52
2018,6,20,215
2018,6,21,200
2015,9,26,70
2018,8,19,79
2015,11,18,150
2021,6,22,190
2018,8,27,146
2015,11,25,117
2018,9,2,53
2018,9,11,173
2018,9,12,151
2015,12,8,143
2017,12,11,158
2017,12,12,181
2015,5,11,128
2020,2,17,206
2018,1,31,175
2011,7,1,23
2020,12,14,159
2013,2,16,22
2021,3,31,177
2011,9,18,12
2021,4,5,131
2013,6,14,65
2014,8,11,97
2021,4,30,163
2018,4,28,90
2015,10,1,145
2018,7,2,172
2018,7,12,166
2020,6,16,249
2015,10,18,86
2018,7,21,73
2020,6,24,186
2015,10,25,61
2015,10,26,126
2018,7,27,157
2017,7,14,168
2012,4,1,23
2020,7,5,86
2015,12,25,38
2014,12,1,106
2016,1,2,54
2016,1,11,133
2014,12,26,43
2018,10,9,178
2016,1,12,156
2021,7,22,175
2021,7,28,161
2021,7,29,148
2012,6,18,34
2015,1,21,109
2012,7,18,56
2012,7,25,51
2015,3,27,136
2017,12,27,112
2013,1,26,25
2015,6,11,144
2021,1,24,112
2021,2,5,178
2018,2,14,189
2018,2,15,195
2018,12,24,72
2019,1,20,84
2019,2,21,186
2021,9,20,141
2021,9,28,181
2016,5,16,132
2019,3,10,100
2021,10,20,191
2021,10,21,198
2016,1,27,143
2019,3,19,169
2019,3,20,164
2019,1,28,158
2016,4,9,86
2019,4,12,180
2019,4,21,81
2020,9,8,163
2009,7,10,3
2012,5,30,35
2009,11,28,4
2013,11,22,80
2017,9,17,90
2012,1,15,17
2017,5,24,198
2018,3,20,192
2020,6,9,203
2017,7,21,184
2014,11,24,101
2010,4,8,5
2013,5,18,29
2014,6,16,88
2011,9,3,8
2014,7,31,106
2014,8,19,105
2017,5,17,186
2012,1,5,35
2016,8,26,117
2016,9,2,120
2010,6,17,2
2019,9,6,154
2010,7,15,9
2014,1,14,93
2010,8,21,1
2010,9,14,5
2010,11,18,14
2010,2,11,7
2010,12,23,7
2011,1,30,3
2014,9,13,42
2019,8,11,70
2012,2,23,31
2010,6,24,6
2010,8,8,7
2017,7,8,66
2016,10,5,146
2013,5,23,73
2015,1,14,113
2020,9,21,215
2018,3,27,199
2013,6,8,33
2015,2,7,73
2019,10,12,81
2017,9,24,92
2013,7,31,72
2015,7,28,144
2015,2,10,130
2010,9,16,10
2020,7,24,169
2012,4,7,14
2010,10,7,8
2020,8,23,77
2015,1,9,88
2012,6,6,43
2017,10,5,178
2012,7,12,38
2013,8,7,81
2016,10,30,81
2010,11,5,11
2020,10,22,209
2010,11,30,13
2013,8,17,23
2015,3,18,145
2018,4,10,192
2013,8,24,26
2018,6,4,189
2021,5,16,120
2015,9,12,45
2012,8,20,37
2015,4,4,67
2015,4,6,109
2012,8,27,31
2012,9,11,63
2012,9,28,45
2012,10,4,37
2012,10,19,50
2012,11,12,54
2012,11,29,54
2012,12,3,55
2010,12,8,13
2020,11,7,80
2020,11,10,210
2011,4,20,21
2021,3,19,171
2016,12,29,96
2011,3,29,16
2019,12,25,59
2019,12,28,55
2011,5,25,15
2011,6,19,7
2021,6,28,159
2017,1,11,157
2015,8,4,159
2018,6,26,205
2018,8,25,71
2018,9,19,154
2017,12,9,109
2011,4,27,19
2015,5,9,57
2015,5,12,134
2017,12,14,168
2017,1,28,68
2014,5,12,108
2011,7,4,12
2018,3,2,178
2017,4,3,136
2021,4,29,204
2013,6,21,70
2011,12,21,27
2018,4,25,204
2015,10,3,69
2021,6,11,177
2014,11,17,116
2012,3,29,30
2012,4,2,36
2020,7,7,186
2018,8,3,155
2012,4,17,31
2012,4,22,20
2020,9,1,171
2017,8,16,185
2012,5,18,29
2021,7,19,158
2017,9,7,169
2018,11,16,149
2012,7,29,18
2015,3,30,135
2017,10,30,153
2015,4,1,133
2021,1,20,190
2018,2,12,178
2021,1,27,168
2021,2,25,164
2021,2,28,91
2016,3,13,69
2018,12,31,52
2016,3,23,175
2019,1,8,145
2019,1,13,64
2016,4,1,112
2016,1,22,136
2016,5,9,148
2019,3,7,167
2021,10,22,147
2019,3,17,97
2021,10,31,86
2019,3,22,142
2019,1,23,177
2019,4,18,202
2009,9,29,2
2009,7,25,4
2009,11,30,3
2011,1,25,8
2010,5,16,5
2010,10,10,2
2010,12,13,8
2009,2,24,1
2009,10,22,2
2009,1,21,1
2009,7,30,1
2009,8,13,2
2009,7,15,1
2009,8,23,1
2010,10,24,1
2019,4,28,99
2016,6,7,160
2009,2,20,1
2013,10,4,66
2010,11,11,4
2010,11,13,5
2016,11,13,78
2016,11,15,153
2016,6,18,63
2019,6,1,78
2013,10,14,56
2016,6,24,119
2016,6,25,59
2009,9,16,8
2019,6,26,192
2019,7,17,161
2010,1,17,4
2013,12,3,97
2016,8,16,145
2017,6,5,162
2014,9,29,98
2014,10,1,96
2017,6,30,159
2014,10,13,102
2019,6,24,143
2009,9,9,9
2012,3,4,14
2009,10,12,3
2013,4,22,78
2015,7,13,159
2016,7,25,141
2009,12,1,5
2017,8,21,159
2012,5,25,35
2015,1,6,89
2009,9,4,5
2012,6,28,26
2020,10,7,220
2017,5,22,147
2021,4,22,197
2013,5,10,64
2012,5,8,38
2020,8,25,175
2013,5,15,88
2019,9,1,63
2011,6,26,10
2011,8,8,23
2011,10,7,11
2017,4,25,161
2011,11,10,24
2017,4,30,81
2011,11,15,28
2017,4,28,149
2014,9,5,66
2010,7,12,4
2010,8,3,11
2010,9,11,6
2019,10,9,197
2014,2,8,51
2014,2,10,94
2019,11,5,180
2019,8,3,56
2010,12,28,5
2010,12,30,8
2012,8,10,27
2020,10,29,198
2014,10,3,81
2010,6,4,6
2012,3,22,31
2020,6,1,179
2014,11,9,55
2010,6,9,8
2014,12,22,64
2020,8,30,96
2013,5,25,21
2010,7,24,5
2014,1,22,102
2017,9,2,71
2010,8,13,12
2010,9,1,15
2012,6,16,22
2013,8,2,61
2016,11,6,79
2012,5,3,34
2014,2,25,120
2010,11,23,13
2017,8,6,76
2016,11,8,131
2010,11,25,7
2012,6,1,26
2017,8,28,158
2020,9,16,191
2015,2,2,100
2017,9,20,172
2012,7,7,15
2012,8,15,35
2017,9,27,177
2019,11,8,132
2016,11,28,144
2020,11,15,114
2011,2,21,18
2017,10,10,177
2012,9,6,43
2015,2,20,134
2012,10,14,25
2016,11,21,152
2010,12,18,4
2015,2,27,126
2011,2,11,11
2011,3,2,13
2014,4,12,59
2014,4,14,88
2020,1,2,108
2011,5,5,12
2017,1,31,138
2014,5,27,101
2020,2,21,168
2020,3,9,174
2011,7,9,13
2017,2,26,93
2017,3,23,179
2015,12,15,139
2018,9,24,146
2016,2,2,125
2018,11,3,73
2018,11,13,189
2019,11,30,92
2019,12,3,193
2019,12,16,157
2019,12,18,151
2017,12,4,174
2015,5,4,100
2018,4,15,94
2018,6,14,178
2018,6,19,191
2018,8,21,167
2018,9,4,146
2015,12,10,127
2018,9,17,133
2020,1,20,147
2015,5,17,76
2020,3,4,174
2020,3,6,178
2020,12,21,147
2020,12,28,104
2011,7,29,15
2021,1,5,133
2020,4,5,141
2011,8,23,25
2011,8,25,28
2015,6,30,164
2020,5,3,147
2013,6,18,82
2018,4,18,206
2021,5,25,188
2018,4,20,180
2015,8,9,60
2021,5,28,158
2018,5,6,86
2018,7,10,181
2018,7,13,147
2012,3,26,35
2015,10,16,139
2021,6,16,184
2020,6,26,192
2015,10,28,160
2020,7,4,103
2014,11,29,69
2021,7,1,161
2020,8,8,79
2016,1,9,63
2014,12,24,38
2020,9,3,164
2021,7,26,135
2021,7,31,62
2012,7,22,27
2013,1,29,52
2021,1,30,105
2021,2,3,201
2021,2,13,86
2021,2,23,175
2018,12,26,75
2016,3,30,156
2019,1,18,138
2016,4,3,81
2016,5,1,88
2021,9,25,70
2021,10,14,166
2021,10,19,165
2019,3,12,194
2019,4,13,105
2009,4,21,1
2010,1,15,4
2010,5,21,3
2009,7,27,2
2009,11,13,1
2010,1,10,1
2010,3,12,3
2010,3,14,5
2010,2,19,5
2010,3,17,4
2010,7,17,2
2012,3,31,13
2009,10,24,2
2009,11,3,1
2010,1,25,2
2016,5,25,156
2016,5,27,129
2016,6,11,58
2016,10,17,158
2010,9,27,9
2019,11,9,69
2016,7,4,101
2013,11,3,48
2009,3,18,2
2009,12,30,2
2011,5,11,15
2009,12,5,1
2010,1,7,2
2009,12,3,3
2009,12,4,2
2010,4,17,8
2010,9,30,6
2010,10,3,1
2010,9,3,6
2010,10,31,2
2010,11,22,10
2008,9,19,2
2009,9,17,4
2010,2,7,1
2010,3,6,5
2010,7,4,2
2009,7,17,1
2010,5,6,4
2010,3,7,3
2010,10,30,2
2010,12,26,1
2016,5,22,82
2013,9,19,63
2019,5,13,162
2014,2,20,140
2019,11,2,70
2019,11,3,86
2014,2,27,112
2019,5,23,154
2013,10,8,74
2016,6,28,130
2016,6,30,168
2019,6,16,79
2009,8,19,5
2013,11,9,39
2019,7,22,146
2010,1,20,5
2016,8,12,138
2014,9,8,100
2012,2,6,26
2017,7,1,92
2012,3,16,37
2019,5,4,87
2020,8,19,160
2012,12,27,31
2015,4,8,119
2018,1,18,174
2018,1,19,159
2015,6,24,135
2018,2,26,178
2013,2,12,64
2011,12,14,29
2013,3,22,71
2017,5,10,154
2009,1,14,1
2017,5,28,78
2013,7,20,38
2015,7,5,43
2013,3,3,29
2018,3,9,178
2013,7,2,80
2018,5,18,169
2021,8,8,92
2020,10,27,185
2020,11,17,198
2013,1,4,40
2010,6,11,6
2017,1,30,122
2018,12,3,176
2018,10,13,91
2016,1,17,85
2019,2,16,83
2016,4,29,128
2016,3,6,80
2019,6,14,152
2014,5,26,80
2017,4,20,205
2020,1,29,209
2014,5,8,101
2011,5,17,20
2014,6,20,93
2011,8,16,20
2014,7,7,89
2017,3,29,199
2020,5,1,193
2011,10,15,15
2014,8,15,71
2014,3,10,104
2011,1,10,10
2011,1,11,9
2014,4,19,60
2019,11,27,164
2011,4,9,8
2011,5,7,3
2013,10,26,44
2019,7,3,160
2019,9,4,147
2016,10,10,135
2010,9,9,6
2013,7,27,26
2020,5,21,216
2013,4,11,64
2014,10,14,99
2014,10,16,108
2009,9,21,3
2009,10,27,3
2009,11,10,4
2009,11,11,5
2020,10,9,160
2012,8,3,33
2010,1,22,3
2015,2,17,134
2013,4,28,23
2015,7,15,163
2010,2,28,6
2017,8,9,177
2013,5,13,68
2010,4,12,8
2016,8,29,120
2013,12,24,35
2013,12,25,22
2010,5,20,4
2020,3,11,182
2017,3,12,84
2020,3,28,144
2020,4,13,168
2014,7,17,101
2011,10,5,29
2011,11,4,17
2011,11,13,10
2020,5,12,243
2011,11,23,22
2017,4,27,185
2014,9,6,68
2019,8,5,142
2013,12,7,46
2016,8,21,54
2019,8,15,160
2010,4,21,15
2010,5,27,6
2019,9,13,154
2016,9,20,134
2014,1,26,46
2016,10,11,148
2014,2,2,53
2010,10,25,8
2019,10,26,71
2016,11,18,138
2016,11,19,64
2016,12,1,145
2011,1,28,13
2012,1,18,27
2010,3,19,10
2010,4,1,8
2013,12,17,77
2019,8,30,125
2017,6,18,68
2016,9,9,127
2017,6,19,162
2014,1,1,37
2010,6,28,11
2010,7,18,3
2010,7,19,10
2016,9,27,136
2014,1,21,102
2020,6,2,175
2010,8,26,6
2019,10,1,168
2020,6,3,214
2014,11,7,116
2014,2,3,104
2010,6,10,8
2012,5,15,41
2021,4,26,172
2013,6,1,35
2015,1,16,89
2012,6,13,41
2021,5,9,99
2017,9,25,151
2019,10,21,151
2016,10,28,148
2012,5,5,10
2014,12,15,101
2012,6,4,29
2020,10,20,200
2018,4,7,79
2012,7,14,10
2013,8,10,31
2015,3,15,67
2015,7,30,142
2017,10,18,180
2016,12,26,53
2010,1,29,8
2016,9,1,124
2013,7,28,32
2018,5,25,168
2016,7,1,115
2015,9,3,131
2009,8,10,1
2015,9,4,121
2017,6,25,73
2009,9,27,2
2017,6,26,173
2013,4,20,34
2021,4,18,125
2016,7,28,166
2009,8,21,4
2015,1,7,86
2012,5,31,42
2017,8,25,157
2017,5,20,63
2012,6,29,34
2012,6,30,19
2012,1,17,43
2012,3,24,14
2020,6,11,203
2017,7,20,221
2020,8,1,94
2010,3,21,4
2010,4,27,3
2020,8,28,156
2013,5,21,79
2016,9,10,53
2011,7,15,17
2011,7,16,13
2020,3,13,159
2020,4,12,146
2011,9,5,16
2019,8,23,173
2016,9,26,132
2011,11,14,23
2017,4,26,179
2011,11,29,17
2016,8,22,126
2013,12,16,87
2010,4,20,7
2010,5,10,8
2010,6,19,2
2014,1,20,89
2019,9,29,85
2019,8,4,58
2014,3,18,122
2014,3,19,94
2010,4,2,5
2012,2,16,37
2010,6,2,6
2019,8,31,55
2010,6,27,4
2014,10,31,93
2010,8,9,18
2010,8,27,8
2018,3,25,83
2014,12,23,71
2013,5,28,67
2013,5,29,89
2018,3,26,194
2015,1,17,54
2012,6,14,32
2017,7,19,215
2016,10,20,154
2010,11,24,7
2017,8,8,168
2015,1,8,105
2012,6,5,36
2020,9,18,187
2020,10,10,105
2017,9,19,181
2010,11,8,8
2016,11,10,167
2015,3,17,121
2013,8,19,63
2013,8,20,92
2014,4,10,108
2015,7,31,130
2013,8,27,77
2012,8,21,53
2012,12,11,67
2012,12,12,68
2013,1,5,19
2012,8,28,37
2012,8,29,46
2017,10,7,93
2012,10,12,51
2012,10,21,20
2012,10,28,24
2012,11,2,51
2012,11,19,62
2012,11,20,56
2012,11,27,51
2014,2,28,113
2010,12,5,8
2012,12,10,44
2016,11,25,116
2012,12,21,54
2010,12,14,8
2010,12,15,7
2011,1,20,20
2018,1,1,43
2021,3,11,208
2018,2,20,200
2011,3,19,10
2020,1,13,148
2011,3,27,13
2017,2,1,129
2017,2,11,59
2016,2,4,130
2016,2,6,70
2011,4,17,11
2017,12,6,177
2015,8,5,160
2015,9,22,119
2015,9,23,125
2015,11,22,90
2018,9,6,149
2015,12,14,121
2014,4,28,98
2015,5,6,142
2011,4,24,3
2017,12,17,73
2020,12,10,185
2011,7,5,17
2014,6,10,103
2020,12,25,59
2014,7,9,110
2011,8,24,26
2017,4,1,88
2013,6,19,79
2013,6,20,72
2021,5,1,83
2021,5,26,200
2018,5,7,199
2015,10,5,131
2018,7,6,130
2018,7,7,62
2015,10,14,163
2015,10,15,152
2018,7,17,196
2014,11,15,58
2014,11,16,63
2020,6,29,203
2015,10,30,127
2015,11,3,145
2020,7,9,192
2012,4,15,17
2015,12,29,104
2018,10,5,137
2014,12,4,122
2021,7,7,154
2021,7,8,149
2017,8,17,164
2015,1,25,53
2020,10,1,191
2020,10,26,164
2012,7,31,40
2017,12,24,56
2021,1,11,182
2021,1,12,194
2021,2,2,191
2013,1,30,63
2015,6,16,113
2013,2,3,37
2021,2,27,98
2021,3,1,160
2016,3,16,170
2018,12,29,57
2018,12,30,49
2019,1,15,166
2016,4,4,150
2016,5,11,178
2019,3,14,181
2016,4,13,168
2010,10,18,3
2009,1,31,1
2009,9,2,1
2009,2,15,1
2009,4,15,2
2009,12,24,1
2010,3,28,2
2009,8,11,3
2010,1,21,4
2010,3,10,3
2011,1,27,6
2009,3,31,1
2009,11,27,4
2010,12,16,5
2010,5,11,2
2010,10,9,4
2016,5,23,136
2013,9,12,68
2013,11,16,39
2013,11,21,106
2019,7,31,162
2017,6,6,164
2014,9,26,72
2012,2,12,22
2014,10,2,97
2014,10,22,99
2020,5,26,219
2020,7,18,99
2012,4,25,39
2017,8,2,223
2012,4,28,21
2019,6,3,151
2017,5,3,176
2017,5,5,145
2011,12,12,34
2015,3,4,162
2017,11,14,190
2015,4,23,149
2015,6,22,135
2018,2,23,175
2013,2,9,30
2013,2,14,78
2014,8,23,46
2012,1,19,31
2017,5,30,191
2014,9,19,99
2021,5,7,162
2013,7,25,87
2021,4,8,181
2013,3,7,77
2013,3,10,32
2013,6,29,29
2015,8,13,148
2015,8,18,129
2018,5,15,169
2015,11,5,164
2018,8,7,157
2015,11,10,127
2021,6,20,84
2021,8,6,142
2019,7,16,180
2019,11,14,174
2014,8,30,34
2011,1,24,13
2014,3,17,117
2017,3,9,183
2017,9,11,176
2018,11,22,134
2018,11,29,149
2018,12,2,86
2021,8,19,150
2021,8,26,170
2016,4,27,157
2021,9,12,55
2019,3,25,155
2016,3,12,80
2019,3,28,203
2019,4,4,195
2016,1,30,75
2021,3,8,190
2018,2,21,213
2013,3,20,69
2017,2,8,173
2017,2,18,78
2017,3,4,84
2011,8,14,7
2020,4,1,230
2014,7,5,44
2014,7,20,44
2014,8,5,115
2017,4,7,169
2020,4,26,170
2011,10,23,17
2011,10,30,13
2017,4,24,182
2014,3,22,42
2014,4,18,76
2020,2,10,193
2011,5,31,21
2020,2,24,165
2019,6,21,146
2009,10,16,4
2010,4,14,7
2010,5,24,7
2010,7,6,12
2014,1,23,89
2013,4,5,81
2014,10,12,58
2013,4,10,82
2018,3,16,200
2012,2,29,39
2012,3,8,36
2012,5,24,31
2015,1,27,125
2020,10,3,111
2013,4,30,72
2013,5,1,63
2014,11,25,131
2018,3,21,197
2012,4,11,33
2013,5,6,67
2020,8,4,192
2016,8,23,145
2013,5,19,30
2017,8,12,55
2015,7,17,150
2011,6,25,6
2011,7,13,21
2011,7,18,15
2011,8,9,17
2017,3,14,167
2020,3,30,212
2011,9,7,31
2017,4,9,90
2011,11,1,18
2011,11,6,15
2011,12,2,34
2014,9,1,74
2011,11,21,19
2011,12,29,9
2012,1,6,19
2010,5,7,4
2019,10,8,184
2016,10,19,198
2014,2,22,45
2010,3,8,5
2010,3,13,4
2016,12,13,121
2010,3,18,13
2019,8,17,60
2016,9,3,40
2013,12,31,43
2010,6,3,6
2014,10,29,92
2019,9,15,69
2016,9,21,146
2020,5,29,206
2010,8,29,3
2016,9,16,124
2013,5,26,31
2010,6,30,7
2010,8,12,8
2010,9,2,7
2013,6,12,76
2020,10,16,177
2019,10,13,80
2010,10,11,8
2016,10,22,74
2020,7,25,111
2020,7,28,175
2014,12,11,113
2012,5,4,31
2017,8,27,63
2012,7,3,44
2012,7,16,50
2012,8,16,52
2020,10,21,220
2015,2,11,123
2010,11,4,10
2017,9,28,162
2013,8,11,31
2011,3,21,13
2013,8,28,85
2018,6,8,190
2013,9,4,75
2012,12,14,43
2017,11,4,83
2012,8,31,37
2012,9,15,20
2012,10,13,16
2012,10,15,51
2012,10,18,39
2012,11,8,47
2012,11,13,46
2010,12,4,7
2012,12,9,27
2014,3,2,58
2017,10,11,195
2012,12,24,20
2016,12,8,157
2015,2,28,61
2011,3,16,20
2014,4,8,108
2021,3,13,98
2021,3,18,186
2014,4,13,58
2011,4,1,19
2019,12,24,72
2020,2,7,189
2020,2,20,224
2011,6,18,9
2017,2,13,139
2011,7,8,15
2020,3,10,161
2014,6,24,110
2011,9,24,17
2018,9,23,75
2015,12,19,57
2013,8,25,28
2018,6,6,189
2015,9,14,148
2012,8,22,38
2012,9,5,42
2011,3,26,10
2012,9,30,11
2012,11,1,38
2012,11,26,58
2012,12,2,34
2010,12,6,21
2012,12,20,35
2015,2,24,146
2015,2,25,130
2014,3,25,107
2017,11,6,167
2011,2,18,12
2011,2,19,7
2020,1,12,73
2011,3,1,15
2019,11,20,210
2011,5,24,14
2020,2,22,93
2011,7,6,25
2014,6,27,77
2020,4,23,243
2016,2,5,142
2018,11,14,195
2019,12,10,173
2019,12,11,174
2020,11,24,191
2021,5,20,199
2018,4,17,188
2015,9,29,141
2018,8,31,137
2021,6,24,170
2015,11,28,66
2018,9,5,174
2021,6,25,145
2015,12,4,150
2018,9,15,70
2015,12,13,60
2020,11,25,210
2020,1,21,176
2013,1,13,37
2020,2,3,180
2017,12,16,63
2015,5,14,141
2015,5,16,73
2018,2,1,192
2014,6,9,78
2015,6,7,41
2020,12,18,151
2020,12,19,90
2013,1,23,69
2021,1,2,83
2021,1,3,96
2020,4,4,136
2017,3,21,206
2021,4,1,156
2017,4,2,96
2014,7,24,122
2014,7,25,102
2013,2,21,74
2017,5,11,149
2013,6,26,65
2015,8,6,164
2018,4,24,206
2021,5,27,178
2018,7,16,177
2020,6,20,109
2020,6,22,224
2020,6,27,102
2021,6,17,174
2015,10,31,81
2020,7,10,158
2020,7,11,92
2015,12,23,112
2017,7,26,211
2018,10,4,156
2016,1,7,128
2014,12,5,105
2014,12,30,64
2020,9,26,97
2016,2,15,124
2017,9,10,91
2012,6,23,18
2021,1,22,162
2021,2,10,193
2021,2,11,182
2018,12,22,56
2019,1,6,54
2016,5,2,120
2021,9,16,155
2016,5,3,153
2018,10,23,179
2021,10,7,161
2016,1,24,77
2021,10,17,87
2021,10,24,80
2016,4,14,187
2019,4,15,174
2010,10,17,7
2008,12,11,1
2019,3,31,86
2009,7,28,2
2010,1,27,5
2010,4,29,5
2009,9,12,1
2009,7,11,1
2009,10,9,4
2009,12,19,1
2010,5,9,1
2010,8,1,3
2009,6,20,1
2010,1,3,1
2009,4,23,1
2009,10,20,1
2009,12,18,1
2013,9,8,39
2016,6,2,138
2013,9,25,84
2019,5,16,154
2013,9,30,60
2019,4,25,177
2010,10,20,6
2010,11,10,13
2016,11,11,122
2019,11,10,92
2010,12,21,11
2013,9,28,35
2019,5,28,157
2016,6,20,142
2013,10,16,70
2019,6,7,150
2019,6,22,58
2016,8,4,168
2016,8,9,152
2013,11,29,64
2019,8,8,165
2017,5,19,154
2017,6,12,143
2017,7,3,151
2014,10,25,50
2014,12,7,64
2017,8,1,180
2017,5,4,187
2014,8,22,109
2015,3,8,60
2012,12,30,24
2015,4,14,131
2017,11,18,95
2018,1,11,164
2020,12,1,207
2018,1,21,76
2015,7,8,162
2017,5,9,140
2014,8,26,99
2014,9,15,68
2013,4,4,72
2020,5,18,192
2014,9,18,96
2018,4,5,197
2013,7,26,64
2015,6,18,162
2013,2,27,76
2013,3,11,66
2018,5,11,191
2015,11,6,133
2015,11,9,139
2016,1,14,148
2016,9,12,135
2016,10,23,68
2017,1,19,131
2015,1,26,111
2020,11,27,156
2018,11,25,67
2016,2,22,132
2021,8,27,157
2021,8,30,143
2021,9,3,146
2018,10,29,167
2016,1,29,149
2019,3,29,161
2019,4,3,183
2019,4,8,148
2016,6,27,135
2018,8,16,167
2019,2,4,175
2010,9,6,8
2017,12,31,44
2018,3,12,180
2020,2,1,72
2013,3,21,71
2011,6,6,13
2020,2,28,175
2020,3,31,249
2020,4,15,247
2011,9,11,15
2011,10,24,23
2017,4,21,167
2016,12,4,93
2011,2,8,10
2017,1,6,105
2011,4,7,20
2017,2,14,142
2009,11,18,4
2016,8,19,133
2010,3,24,3
2013,12,15,38
2013,12,20,74
2010,5,25,7
2014,1,4,42
2016,9,17,41
2010,7,7,6
2016,9,24,54
2018,5,26,74
2013,4,9,75
2015,9,2,136
2018,5,31,166
2009,8,25,5
2018,3,17,103
2017,6,24,80
2013,4,19,54
2013,11,7,97
2009,10,29,5
2019,7,10,158
2019,7,15,149
2015,1,1,29
2009,7,23,18
2009,8,8,1
2009,10,7,4
2012,1,10,24
2015,1,31,59
2010,1,5,3
2012,8,5,18
2021,4,20,186
2013,5,5,32
2012,4,12,33
2019,8,6,154
2017,7,23,76
2014,12,17,103
2017,8,11,158
2018,3,24,108
2012,5,13,20
2014,12,20,28
2011,8,10,21
2011,8,13,6
2014,7,16,101
2017,3,27,151
2011,10,4,17
2011,11,12,15
2011,12,3,13
2010,4,18,2
2010,6,22,12
2019,9,14,70
2016,10,3,126
2010,10,2,6
2010,2,9,6
2012,2,18,21
2010,4,23,2
2014,10,8,112
2017,6,17,68
2016,10,13,157
2014,1,9,91
2017,8,31,164
2013,5,30,67
2012,6,11,39
2013,6,3,65
2021,4,27,189
2013,7,29,60
2014,2,5,121
2020,10,17,97
2015,1,11,57
2012,7,2,34
2020,10,12,164
2015,2,5,126
2017,9,22,154
2014,3,16,57
2011,1,23,3
2013,8,22,73
2015,3,23,153
2015,9,7,115
2012,10,1,41
2020,11,2,180
2012,10,26,53
2012,11,4,19
2012,11,9,52
2012,11,22,44
2012,12,5,57
2012,12,8,33
2020,11,5,190
2014,3,3,85
2014,3,13,105
2012,12,25,20
2011,1,18,17
2016,12,22,101
2021,3,14,106
2021,3,17,200
2011,2,28,12
2014,5,15,113
2011,7,12,18
2014,6,28,38
2014,7,14,94
2020,4,10,200
2018,9,22,72
2018,9,26,149
2018,11,8,165
2016,2,7,92
2011,3,22,14
2017,10,23,153
2015,3,25,157
2014,4,24,111
2019,12,13,143
2017,11,30,180
2018,6,9,67
2015,9,20,60
2015,9,27,67
2018,8,18,77
2015,11,19,164
2018,8,28,156
2018,8,30,158
2015,12,5,69
2015,5,7,121
2014,4,29,105
2013,1,12,23
2011,5,18,25
2020,2,16,89
2020,12,11,188
2014,6,8,47
2018,2,4,75
2017,3,20,162
2021,4,2,137
2013,2,20,71
2011,9,21,30
2013,6,13,65
2011,10,17,28
2013,6,23,34
2021,5,21,157
2018,4,27,155
2018,4,30,165
2018,5,1,172
2015,8,12,157
2018,6,29,164
2015,10,11,81
2014,11,14,106
2020,6,14,115
2015,10,21,145
2018,7,23,151
2017,7,13,189
2018,7,25,184
2020,7,2,205
2014,11,19,114
2014,12,2,109
2021,7,4,77
2014,12,27,35
2021,8,5,164
2012,6,21,49
2012,7,17,37
2020,10,24,103
2012,7,24,47
2015,2,15,69
2017,12,26,77
2015,5,22,119
2021,1,10,105
2018,2,9,178
2021,1,15,176
2021,1,25,163
2021,2,18,200
2018,12,21,122
2018,12,28,71
2016,3,18,142
2019,1,5,51
2021,9,13,141
2021,9,23,151
2019,2,26,180
2021,10,9,83
2016,5,14,81
2019,3,9,86
2021,10,29,154
2016,4,6,187
2012,3,12,36
2014,10,26,54
2014,10,27,102
2017,7,6,203
2020,7,15,180
2012,4,27,19
2015,3,11,137
2013,1,8,57
2015,4,21,145
2020,11,22,109
2018,1,5,122
2020,11,30,182
2015,6,2,136
2013,1,18,63
2018,1,23,157
2013,2,8,79
2017,5,7,69
2015,6,27,59
2013,3,24,38
2021,4,13,174
2021,4,14,204
2015,7,25,75
2018,4,3,172
2013,7,17,72
2017,5,31,187
2014,9,21,57
2013,3,9,42
2018,3,31,98
2018,4,2,146
2018,5,13,100
2018,8,9,161
2015,11,7,88
2018,8,10,136
2018,8,11,73
2021,8,12,162
2019,9,18,163
2014,5,13,102
2017,3,8,160
2020,5,6,212
2013,12,2,87
2011,3,23,21
2016,2,19,118
2018,11,26,162
2018,11,27,187
2021,8,21,78
2019,2,12,163
2021,8,29,75
2021,9,1,171
2016,4,26,131
2021,9,2,172
2016,3,1,162
2018,12,17,127
2019,3,27,195
2019,4,10,203
2020,3,7,89
2013,10,23,75
2020,3,24,216
2017,1,25,174
2018,1,4,159
2011,6,28,22
2014,7,3,90
2011,8,20,10
2011,9,9,22
2011,10,10,23
2017,4,14,135
2014,7,30,96
2011,1,7,9
2011,2,4,6
